Season,Team,TG,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
2001,"TOR",162,1859,6284,195,767,728,156,0.074793125,0.174092934,0.166696097,0.292959021,0.26293484,0.32528,0.429630937,0.3244432230140247,,94.21966072286361,7.0346483055036515,-38.941414420160115,-18.5499360114336,15.694764363049234
2006,"SFG",161,2313,6136,163,746,711,58,0.080508474,0.145208604,0.162646199,0.281705948,0.259137426,0.324471598,0.421783625,0.319694865487491,,87.50967391355506,-15.762841192656197,-116.24798435166353,73.47864159196615,15.68926403095476
2010,"CHW",162,2212,6118,177,752,710,160,0.076332134,0.150702844,0.152443472,0.291657246,0.26750547,0.331740276,0.419948942,0.33155284601366153,,100.12186451815536,-8.102767215576023,-7.668585461041474,-54.57503338903189,15.63876152221584
2003,"BAL",163,2196,6241,152,743,695,89,0.069059445,0.14452812,0.137864077,0.293270264,0.26760812,0.323263327,0.405472197,0.31770450510774273,,94.11745904803944,10.990061151329428,-35.276347713793484,-21.154185172053985,15.637415541762254
2000,"ARI",162,2103,6241,179,792,756,97,0.085723441,0.156224963,0.164103492,0.290453622,0.26524335,0.333387279,0.429346842,0.331584419811327,,88.00323429304822,-0.09251543553546071,-102.72144167461671,59.19072369998321,15.62138350198164
2004,"CIN",162,2361,6278,194,750,713,77,0.095412551,0.212647339,0.1676332,0.295465869,0.250090612,0.331030049,0.417723812,0.3261785739645808,,91.63467357950945,-9.27896167547442,-77.4664053289917,25.616832587867975,15.560485009370696
2009,"WSN",162,2401,6273,156,710,685,73,0.098358042,0.192571337,0.148370654,0.30208583,0.257782632,0.336501288,0.406153286,0.32708141046823336,,95.9033801513534,-5.686383504420519,-37.85514389182099,-3.3586655585095286,15.554602030007967
2008,"CHW",163,2298,6231,235,811,785,67,0.086663456,0.163055689,0.184945075,0.281214072,0.262560777,0.332258584,0.447505852,0.33934713874489214,,101.31381788030265,-27.42645011562854,-17.661792403245553,-41.77522719465196,15.544603362237888
2007,"CIN",162,2383,6332,204,783,747,97,0.084649399,0.175773847,0.169609417,0.297970479,0.266809345,0.33541167,0.436418762,0.33521772719328824,,93.85425622552714,-7.151019293116406,-58.24982904898664,8.41671032179147,15.536551410022568
2017,"CHW",162,2289,6059,186,706,670,71,0.066182538,0.2305661,0.161073826,0.309361594,0.256121893,0.31363108,0.417195719,0.3130341214098376,,95.43070527597284,-4.091920751208818,-38.52548375696319,-5.440755004063249,15.525942796286097
2009,"SDP",162,2348,6179,141,638,605,82,0.094837352,0.191293089,0.138248848,0.283711938,0.242396313,0.320773263,0.380645161,0.30949691198002954,,92.59308967158115,-10.36411452665925,-67.12418038737691,28.518353756517172,15.520672445497684
2018,"TOR",162,2435,6076,217,709,680,47,0.082126398,0.228275181,0.18312945,0.286189258,0.243929158,0.311810245,0.427058608,0.3185674838987493,,99.6802567478785,-21.188371885514243,-23.723014636242855,-32.84950968064368,15.512942067224984
2000,"COL",162,2221,6453,161,968,905,131,0.093134975,0.14055478,0.160600707,0.322048425,0.293992932,0.361712135,0.454593639,0.35323277831379657,,82.46343985755952,-1.0180041796993464,-155.7721463222998,100.55909753311425,15.497820960101638
